export-plot data (NetLogo 6.3.0),,,,,,,
basic_model_cyreneedit2.nlogo,,,,,,,
12/10/2022 19:13:16:316 +0100,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
chemical-sensitivity-of-agents,number-of-agents,draw-paths,communication,radius,obstacles,,
25,50,false,false,4,false,,
,,,,,,,
"""Avg. distance from closest source""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,10500,0,100,true,"""default""",false,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",true,0,1,104,10001,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,Avg time to source,,
0,40.6507605419881,104,true,,3755.2093,,
1,40.5558133704195,104,true,,,,
2,40.5269664395429,104,true,,,,
3,40.3640528265806,104,true,,,,
4,40.3437538009915,104,true,,,,
5,40.388486281877,104,true,,,,
6,40.3826357760487,104,true,,,,
7,40.5385987463931,104,true,,,,
8,40.5553476684703,104,true,,,,
9,40.4006250552744,104,true,,,,
10,40.3134504004332,104,true,,,,
11,40.2878439968682,104,true,,,,
12,40.3149401174652,104,true,,,,
13,40.3499959370513,104,true,,,,
14,40.317233974089,104,true,,,,
15,40.4503031054334,104,true,,,,
16,40.5334288540481,104,true,,,,
17,40.5075929293319,104,true,,,,
18,40.5536625536727,104,true,,,,
19,40.582715922219,104,true,,,,
20,40.5829869133187,104,true,,,,
21,40.6684517145135,104,true,,,,
22,40.7046858050619,104,true,,,,
23,40.5875292930925,104,true,,,,
24,40.4065227640311,104,true,,,,
25,40.2991281601632,104,true,,,,
26,40.3303807858371,104,true,,,,
27,40.1741557506252,104,true,,,,
28,40.1518437018783,104,true,,,,
29,40.0661818809871,104,true,,,,
30,40.1270633767332,104,true,,,,
31,40.1110231711573,104,true,,,,
32,40.0202192324277,104,true,,,,
33,39.842110082486,104,true,,,,
34,39.7944597144221,104,true,,,,
35,39.7165665575378,104,true,,,,
36,39.5591940726413,104,true,,,,
37,39.6728799520064,104,true,,,,
38,39.7740792574481,104,true,,,,
39,39.740647029401,104,true,,,,
40,39.7925265477889,104,true,,,,
41,39.8939239002696,104,true,,,,
42,40.1323092785862,104,true,,,,
