export-plot data (NetLogo 6.3.0),,,,,,,
basic_model_cyreneedit2.nlogo,,,,,,,
12/11/2022 01:10:13:388 +0100,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
chemical-sensitivity-of-agents,number-of-agents,draw-paths,communication,radius,obstacles,,
25,50,false,true,4,false,,
,,,,,,,
"""Avg. distance from closest source""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,10500,0,100,true,"""default""",false,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",true,0,1,104,10001,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,Avg time to source,,
0,39.2923437642914,104,true,,870.1,,
1,39.4061700687773,104,true,,,,
2,39.5487662957607,104,true,,,,
3,39.4595413295269,104,true,,,,
4,39.4109077088967,104,true,,,,
5,39.4908534328736,104,true,,,,
6,39.6559273017375,104,true,,,,
7,39.7090841183468,104,true,,,,
8,39.6675824646444,104,true,,,,
9,39.6003433321392,104,true,,,,
10,39.6215178254721,104,true,,,,
11,39.7836137085515,104,true,,,,
12,39.6488106589363,104,true,,,,
13,39.561192488193,104,true,,,,
14,39.4818923817365,104,true,,,,
15,39.3268613729187,104,true,,,,
16,39.3401475327175,104,true,,,,
17,39.4848100605733,104,true,,,,
18,39.2954477627447,104,true,,,,
19,39.5024226742195,104,true,,,,
20,39.6936869934827,104,true,,,,
21,39.6497907246178,104,true,,,,
22,39.6625797954368,104,true,,,,
23,39.8152047040278,104,true,,,,
24,39.722723901316,104,true,,,,
25,39.74601227049,104,true,,,,
26,39.7660728139171,104,true,,,,
27,39.7282737613356,104,true,,,,
28,39.7392107425408,104,true,,,,
29,39.6242322947994,104,true,,,,
30,39.500488895538,104,true,,,,
31,39.6974325654332,104,true,,,,
32,39.8128908614471,104,true,,,,
33,39.7515904034559,104,true,,,,
34,39.8132632330299,104,true,,,,
35,39.6017553734694,104,true,,,,
36,39.738221678628,104,true,,,,
37,39.557358942065,104,true,,,,
38,39.335943874513,104,true,,,,
39,39.3280688422413,104,true,,,,
40,39.3898823867367,104,true,,,,
41,39.4511695108499,104,true,,,,
42,39.3687299702981,104,true,,,,
43,39.350200982516,104,true,,,,
44,39.3652346849312,104,true,,,,
45,39.2714833605077,104,true,,,,
46,39.272845601044,104,true,,,,
47,39.1696555243388,104,true,,,,
48,39.1111190190203,104,true,,,,
49,38.9801211376842,104,true,,,,
50,38.9499352865994,104,true,,,,
51,38.8762116921184,104,true,,,,
52,38.911736500278,104,true,,,,
53,38.9626690209064,104,true,,,,
54,39.0832776664257,104,true,,,,
55,39.2336765696767,104,true,,,,
56,39.3674112588977,104,true,,,,
57,39.3280491486739,104,true,,,,
58,39.411776836289,104,true,,,,
59,39.402395490151,104,true,,,,
60,39.5126316422751,104,true,,,,
61,39.4728886713188,104,true,,,,
62,39.4339581826141,104,true,,,,
63,39.3142877082003,104,true,,,,
64,39.3512054974256,104,true,,,,
65,39.4396127683353,104,true,,,,
66,39.5351379345825,104,true,,,,
67,39.6070666009345,104,true,,,,
68,39.5204493596593,104,true,,,,
69,39.4580824064331,104,true,,,,
70,39.4886511738577,104,true,,,,
71,39.4747823800455,104,true,,,,
72,39.5122251166474,104,true,,,,
73,39.298899021632,104,true,,,,
74,39.2728129438571,104,true,,,,
75,39.2442995389211,104,true,,,,
76,39.3109528570582,104,true,,,,
77,39.3657710790502,104,true,,,,
78,39.290520158466,104,true,,,,
79,39.2182970481857,104,true,,,,
80,39.2429447749514,104,true,,,,
81,39.1459538256801,104,true,,,,
82,39.2460734616124,104,true,,,,
83,39.0986363086072,104,true,,,,
84,39.1526541406171,104,true,,,,
85,39.2108948702622,104,true,,,,
86,39.1563197056653,104,true,,,,
87,39.0248958976778,104,true,,,,
88,39.1070350294823,104,true,,,,
89,39.1227896926359,104,true,,,,
90,39.1753503096343,104,true,,,,
91,39.1040117779868,104,true,,,,
92,39.1218618954874,104,true,,,,
93,39.1922074224595,104,true,,,,
94,39.0398727648553,104,true,,,,
95,39.1238885210772,104,true,,,,
96,39.0394382843182,104,true,,,,
97,39.1364456407973,104,true,,,,
98,39.1659379766187,104,true,,,,
99,39.1965290279867,104,true,,,,
100,39.0159567277543,104,true,,,,
101,38.9876386333978,104,true,,,,
102,39.0020828807611,104,true,,,,
103,38.9316846011531,104,true,,,,
104,38.8933724040306,104,true,,,,
105,38.9619117576389,104,true,,,,
106,39.0215703136965,104,true,,,,
107,39.0090646499143,104,true,,,,
108,38.9542935288936,104,true,,,,
109,38.9909532580188,104,true,,,,
110,38.8911129095116,104,true,,,,
111,38.9058898067297,104,true,,,,
112,38.975522378599,104,true,,,,
113,38.8537659872509,104,true,,,,
114,39.0890233529036,104,true,,,,
115,39.1520116595382,104,true,,,,
116,39.2513584495923,104,true,,,,
117,39.3121885336441,104,true,,,,
118,39.2277889432154,104,true,,,,
119,39.2897743641997,104,true,,,,
120,39.2833047884676,104,true,,,,
121,39.2298143883122,104,true,,,,
122,39.231306288631,104,true,,,,
123,39.2843249658602,104,true,,,,
124,39.2615517016851,104,true,,,,
125,39.3226793144287,104,true,,,,
126,39.0853679689683,104,true,,,,
127,38.9013108143661,104,true,,,,
128,38.7379147306618,104,true,,,,
129,38.7655602337755,104,true,,,,
130,38.5816039535645,104,true,,,,
131,38.4667867608884,104,true,,,,
132,38.4997086747408,104,true,,,,
133,38.590828710418,104,true,,,,
134,38.4976480377393,104,true,,,,
135,38.6107362106731,104,true,,,,
136,38.7101340924343,104,true,,,,
137,38.7117540687168,104,true,,,,
138,38.5708353792779,104,true,,,,
139,38.5765838470854,104,true,,,,
140,38.5864721885106,104,true,,,,
141,38.7560123567982,104,true,,,,
142,38.7569264992189,104,true,,,,
143,38.6105676764318,104,true,,,,
144,38.3965647534409,104,true,,,,
145,38.429690422852,104,true,,,,
146,38.5753268171105,104,true,,,,
147,38.6056295278477,104,true,,,,
148,38.7224713599917,104,true,,,,
149,38.7807891984353,104,true,,,,
150,38.7330931650747,104,true,,,,
151,38.6294472245529,104,true,,,,
152,38.4807123843049,104,true,,,,
153,38.2246332276903,104,true,,,,
154,38.2724718278548,104,true,,,,
155,38.3341495939191,104,true,,,,
156,38.3702238498279,104,true,,,,
157,38.284698703854,104,true,,,,
158,38.2052225460818,104,true,,,,
159,38.1925584699124,104,true,,,,
160,38.0970048721387,104,true,,,,
161,38.138370454181,104,true,,,,
162,38.0692845662235,104,true,,,,
163,37.9778237221231,104,true,,,,
164,37.9960859637378,104,true,,,,
165,37.8476595422959,104,true,,,,
166,38.1366836291631,104,true,,,,
167,38.1704651927687,104,true,,,,
168,38.1583468264528,104,true,,,,
169,37.9821180756021,104,true,,,,
170,37.9646345074481,104,true,,,,
171,38.0507416744477,104,true,,,,
172,38.0968414530149,104,true,,,,
173,37.9434725889361,104,true,,,,
174,37.9928472720846,104,true,,,,
175,37.8703589058231,104,true,,,,
176,37.8876675875302,104,true,,,,
177,37.7168829840818,104,true,,,,
178,37.5305065203139,104,true,,,,
179,37.4277261306526,104,true,,,,
180,37.3978379257886,104,true,,,,
181,37.3131091258681,104,true,,,,
182,37.3366968086484,104,true,,,,
183,37.3205680869928,104,true,,,,
184,37.3124590061578,104,true,,,,
185,37.1382007977367,104,true,,,,
186,37.13211276042,104,true,,,,
187,37.1357250783924,104,true,,,,
188,37.1506753443591,104,true,,,,
189,36.9725089725723,104,true,,,,
190,36.8133122117687,104,true,,,,
191,36.6828242704478,104,true,,,,
192,36.6191479381359,104,true,,,,
193,36.6281140654798,104,true,,,,
194,36.4681487781104,104,true,,,,
195,36.3597164418314,104,true,,,,
196,36.4697716046969,104,true,,,,
197,36.3141897981692,104,true,,,,
198,36.2158418078114,104,true,,,,
199,36.1508978414076,104,true,,,,
200,36.1709636595343,104,true,,,,
