export-plot data (NetLogo 6.3.0),,,,,,,
basic_model_cyreneedit2.nlogo,,,,,,,
12/11/2022 12:14:06:059 +0100,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
chemical-sensitivity-of-agents,number-of-agents,draw-paths,communication,radius,obstacles,,
25,50,false,false,4,true,,
,,,,,,,
"""Avg. distance from closest source""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,10500,0,100,true,"""default""",false,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",true,0,1,104,10001,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,Avg time to source,,
0,40.9818694793689,104,true,,3800.632,,
1,41.0038121569507,104,true,,,,
2,40.9363299581428,104,true,,,,
3,40.9738016728483,104,true,,,,
4,40.8714594297443,104,true,,,,
5,40.8961541380078,104,true,,,,
6,40.9275619177649,104,true,,,,
7,40.9220018521619,104,true,,,,
8,41.0063822963101,104,true,,,,
9,40.9865292684942,104,true,,,,
10,40.7850493803605,104,true,,,,
11,40.5801184509451,104,true,,,,
12,40.7210085625308,104,true,,,,
13,40.6163181454323,104,true,,,,
14,40.6186448914211,104,true,,,,
15,40.6027559222952,104,true,,,,
16,40.4764675634853,104,true,,,,
17,40.6262102187822,104,true,,,,
18,40.631409831759,104,true,,,,
19,40.5383455155638,104,true,,,,
20,40.5009484430632,104,true,,,,
21,40.3958489435301,104,true,,,,
22,40.2471778018316,104,true,,,,
23,40.0312919865431,104,true,,,,
24,39.9974341995196,104,true,,,,
25,39.8493858588517,104,true,,,,
26,39.745590502915,104,true,,,,
27,39.8513924704608,104,true,,,,
28,39.9941984210028,104,true,,,,
29,39.9937547767385,104,true,,,,
30,39.9743901638735,104,true,,,,
31,39.8468352527095,104,true,,,,
32,39.9186701950568,104,true,,,,
33,39.8836463591794,104,true,,,,
34,39.9066559529644,104,true,,,,
35,39.9637392207065,104,true,,,,
36,39.9941741390386,104,true,,,,
37,39.9513067068607,104,true,,,,
38,39.9401309466285,104,true,,,,
39,40.0541969442325,104,true,,,,
40,39.9461296733202,104,true,,,,
41,39.8076492188526,104,true,,,,
42,39.7652904766284,104,true,,,,
43,39.7877976430607,104,true,,,,
44,39.8819532104252,104,true,,,,
45,40.0826121119501,104,true,,,,
46,40.1927873817786,104,true,,,,
47,40.3121923745808,104,true,,,,
48,40.3335880173317,104,true,,,,
49,40.272497095023,104,true,,,,
50,40.3239078312591,104,true,,,,
51,40.2672571856998,104,true,,,,
52,40.3903452911019,104,true,,,,
53,40.2644708979017,104,true,,,,
54,40.2638302588152,104,true,,,,
55,40.2352751912389,104,true,,,,
56,40.2465362501188,104,true,,,,
57,40.2332677826437,104,true,,,,
58,40.3633131195195,104,true,,,,
59,40.4840918864964,104,true,,,,
60,40.4885963876722,104,true,,,,
61,40.5029106709367,104,true,,,,
62,40.5509496910168,104,true,,,,
63,40.6625676193587,104,true,,,,
64,40.5804986807042,104,true,,,,
65,40.5854566663333,104,true,,,,
66,40.6787840387722,104,true,,,,
67,40.8015595556639,104,true,,,,
68,40.8183915253748,104,true,,,,
69,40.7985514421759,104,true,,,,
70,40.8850689566893,104,true,,,,
71,40.8330655976324,104,true,,,,
72,40.6760775917197,104,true,,,,
73,40.6426446978643,104,true,,,,
74,40.5527223035164,104,true,,,,
75,40.4615404253096,104,true,,,,
76,40.5236507510365,104,true,,,,
77,40.3519078584061,104,true,,,,
78,40.3060494950201,104,true,,,,
79,40.2319998931599,104,true,,,,
80,40.1897313265876,104,true,,,,
81,40.2325764124193,104,true,,,,
82,40.2712729562047,104,true,,,,
83,40.2971653280975,104,true,,,,
84,40.2235563145969,104,true,,,,
85,40.2767046312805,104,true,,,,
86,40.2382049502408,104,true,,,,
87,40.2268766216331,104,true,,,,
88,40.3573142009094,104,true,,,,
89,40.4004270546498,104,true,,,,
90,40.2259287418254,104,true,,,,
91,40.2194943035308,104,true,,,,
92,40.2075140961985,104,true,,,,
93,40.1267402238401,104,true,,,,
94,40.223999916183,104,true,,,,
95,40.1450970992295,104,true,,,,
96,40.1991868938716,104,true,,,,
97,40.196970615082,104,true,,,,
98,40.4230480590797,104,true,,,,
99,40.3777375168822,104,true,,,,
100,40.2776563286168,104,true,,,,
101,40.3656778581344,104,true,,,,
102,40.3980022921058,104,true,,,,
103,40.4079402144425,104,true,,,,
104,40.44213181827,104,true,,,,
105,40.4197403927849,104,true,,,,
106,40.3603187207729,104,true,,,,
107,40.3212174901684,104,true,,,,
108,40.3341328156791,104,true,,,,
109,40.3667871044261,104,true,,,,
110,40.3442170958305,104,true,,,,
111,40.3049049372976,104,true,,,,
112,40.2680072070108,104,true,,,,
113,40.3682882647038,104,true,,,,
114,40.2886736405063,104,true,,,,
115,40.4412698805943,104,true,,,,
116,40.2872896145724,104,true,,,,
117,40.3725852721525,104,true,,,,
118,40.379624909955,104,true,,,,
119,40.4283259105217,104,true,,,,
120,40.2794636913113,104,true,,,,
121,40.1366288652273,104,true,,,,
122,40.3208503378719,104,true,,,,
123,40.2952516841356,104,true,,,,
124,39.9704996365605,104,true,,,,
125,40.0959323566073,104,true,,,,
126,39.9449839641542,104,true,,,,
127,39.7971251772591,104,true,,,,
128,39.9308495505133,104,true,,,,
129,39.8724951548331,104,true,,,,
130,39.8946590640735,104,true,,,,
131,39.8171671408671,104,true,,,,
132,39.7659476959516,104,true,,,,
133,39.6955209010821,104,true,,,,
134,39.5643006582,104,true,,,,
135,39.702299844988,104,true,,,,
136,39.5745195291867,104,true,,,,
137,39.5779241085533,104,true,,,,
138,39.7099679973428,104,true,,,,
139,39.9531122411556,104,true,,,,
140,39.8411235430473,104,true,,,,
141,39.672624071314,104,true,,,,
142,39.9120816832556,104,true,,,,
143,39.960180885903,104,true,,,,
144,40.025510882636,104,true,,,,
145,40.1378470428937,104,true,,,,
146,39.9418121112672,104,true,,,,
147,39.9856657033692,104,true,,,,
148,39.9431807666053,104,true,,,,
149,39.965654444619,104,true,,,,
150,39.9467750721199,104,true,,,,
151,40.0193579926041,104,true,,,,
152,40.0241336682697,104,true,,,,
153,39.9466428789524,104,true,,,,
154,39.9865014960752,104,true,,,,
155,40.0708078109163,104,true,,,,
156,39.9536234316465,104,true,,,,
157,39.9851282467492,104,true,,,,
158,39.9522237875854,104,true,,,,
159,39.9659056415085,104,true,,,,
160,40.0154730183534,104,true,,,,
161,39.9380166246326,104,true,,,,
162,40.0447042536777,104,true,,,,
163,39.8562118552431,104,true,,,,
164,39.7681580585914,104,true,,,,
165,39.7732370586445,104,true,,,,
166,39.7276383950542,104,true,,,,
167,39.8058731086898,104,true,,,,
168,39.7605418520903,104,true,,,,
169,39.765797225307,104,true,,,,
170,39.8291826718148,104,true,,,,
171,39.8654937920148,104,true,,,,
172,39.9343429216047,104,true,,,,
173,39.8389268794823,104,true,,,,
174,39.7084511348812,104,true,,,,
175,39.9318867161264,104,true,,,,
176,39.9333716990057,104,true,,,,
177,40.0695025536395,104,true,,,,
178,40.0255578960036,104,true,,,,
179,40.1297843096027,104,true,,,,
180,40.058387079556,104,true,,,,
181,40.0435625639273,104,true,,,,
182,39.995559128763,104,true,,,,
183,40.0888226220032,104,true,,,,
184,40.1389150117047,104,true,,,,
185,40.1226683890623,104,true,,,,
186,40.0835646404538,104,true,,,,
187,40.0538086326305,104,true,,,,
188,39.9264581950828,104,true,,,,
189,39.7871171356118,104,true,,,,
190,39.9132587189892,104,true,,,,
