export-plot data (NetLogo 6.3.0),,,,,,,
basic_model_cyreneedit2.nlogo,,,,,,,
12/11/2022 14:45:51:717 +0100,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
chemical-sensitivity-of-agents,number-of-agents,draw-paths,communication,radius,obstacles,,
25,50,false,true,4,true,,
,,,,,,,
"""Avg. distance from closest source""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,10500,0,100,true,"""default""",false,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",true,0,1,104,10001,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,Avg time to source,,
0,40.4019644141902,104,true,,911.061,,
1,40.5266134241551,104,true,,,,
2,40.6107023168269,104,true,,,,
3,40.6645391418925,104,true,,,,
4,40.7651628601502,104,true,,,,
5,40.6961729507156,104,true,,,,
6,40.5668687127577,104,true,,,,
7,40.5263398218044,104,true,,,,
8,40.607436044514,104,true,,,,
9,40.5646111189656,104,true,,,,
10,40.6969697835938,104,true,,,,
11,40.5341954581899,104,true,,,,
12,40.381313769034,104,true,,,,
13,40.3772871940349,104,true,,,,
14,40.3732017038994,104,true,,,,
15,40.3827109489778,104,true,,,,
16,40.4283248047041,104,true,,,,
17,40.4844684734294,104,true,,,,
18,40.5483461524058,104,true,,,,
19,40.5676275736677,104,true,,,,
20,40.4342193239664,104,true,,,,
21,40.3591452284093,104,true,,,,
22,40.3277291246989,104,true,,,,
23,40.1236926638189,104,true,,,,
24,40.091179222035,104,true,,,,
25,40.2370555831336,104,true,,,,
26,40.17281033488,104,true,,,,
27,39.9468337908536,104,true,,,,
28,39.9874175141025,104,true,,,,
29,39.9769576085145,104,true,,,,
30,39.9677273366979,104,true,,,,
31,39.9564568276649,104,true,,,,
32,39.8613253636161,104,true,,,,
33,39.744370362373,104,true,,,,
34,39.7138954605278,104,true,,,,
35,39.7510346198019,104,true,,,,
36,39.8652306999021,104,true,,,,
37,39.8798755599911,104,true,,,,
38,39.9292440981255,104,true,,,,
39,40.039762217404,104,true,,,,
40,39.9588919933127,104,true,,,,
41,39.9881252510306,104,true,,,,
42,39.8835367213647,104,true,,,,
43,39.9091793958922,104,true,,,,
44,39.9090226096521,104,true,,,,
45,39.8692210266416,104,true,,,,
46,39.8422175041023,104,true,,,,
47,39.7401453405933,104,true,,,,
48,39.6607607835668,104,true,,,,
49,39.5721410248493,104,true,,,,
50,39.4454765488573,104,true,,,,
51,39.3873761808963,104,true,,,,
52,39.4520292488791,104,true,,,,
53,39.3723151348491,104,true,,,,
54,39.3887805817381,104,true,,,,
55,39.3387169067884,104,true,,,,
56,39.2205943962273,104,true,,,,
57,39.1707918994748,104,true,,,,
58,39.3847541315607,104,true,,,,
59,39.4381091588201,104,true,,,,
60,39.4289471557762,104,true,,,,
61,39.3770426194953,104,true,,,,
62,39.3934537939138,104,true,,,,
63,39.4316684034996,104,true,,,,
64,39.3697822691465,104,true,,,,
65,39.4554067725961,104,true,,,,
66,39.3528415599798,104,true,,,,
67,39.2906690827732,104,true,,,,
68,39.2805606559495,104,true,,,,
69,39.1084855339092,104,true,,,,
70,39.0031031085302,104,true,,,,
71,38.9647050853741,104,true,,,,
72,38.9201733819783,104,true,,,,
73,38.8226067514507,104,true,,,,
74,38.9544510983154,104,true,,,,
75,39.1232516406328,104,true,,,,
76,39.1650826380567,104,true,,,,
77,39.273486530201,104,true,,,,
78,39.4940644289932,104,true,,,,
79,39.3583366124862,104,true,,,,
80,39.3631459486929,104,true,,,,
81,39.5061177421481,104,true,,,,
82,39.6219206179433,104,true,,,,
83,39.4918730328721,104,true,,,,
84,39.2530853682509,104,true,,,,
85,39.0677244724944,104,true,,,,
86,39.1502308482707,104,true,,,,
87,39.0022246093077,104,true,,,,
88,39.0172330622203,104,true,,,,
89,39.1730024118413,104,true,,,,
90,39.104286257005,104,true,,,,
91,39.0567589746382,104,true,,,,
92,39.2862793605628,104,true,,,,
93,39.348969167445,104,true,,,,
94,39.2583421606188,104,true,,,,
95,39.2247282057941,104,true,,,,
96,39.0908733131216,104,true,,,,
97,39.1110376777689,104,true,,,,
98,38.9303198061408,104,true,,,,
99,38.8157778674402,104,true,,,,
100,38.8970738393821,104,true,,,,
101,38.8562820250665,104,true,,,,
102,38.908421789974,104,true,,,,
103,38.8786006056982,104,true,,,,
104,38.9985846903139,104,true,,,,
105,39.0305070159822,104,true,,,,
106,38.9712605421787,104,true,,,,
107,38.9125907349581,104,true,,,,
108,38.9783435447774,104,true,,,,
109,39.013989146302,104,true,,,,
110,38.98083171888,104,true,,,,
111,38.9874219103249,104,true,,,,
112,38.8337523911802,104,true,,,,
113,38.8723723533159,104,true,,,,
114,38.8574508996948,104,true,,,,
115,38.8492655501922,104,true,,,,
116,38.7614978699357,104,true,,,,
117,38.6529739004473,104,true,,,,
118,38.5996936326684,104,true,,,,
119,38.5233013270829,104,true,,,,
120,38.324185402219,104,true,,,,
121,38.2657947234214,104,true,,,,
122,38.3449771676599,104,true,,,,
123,38.2615249282745,104,true,,,,
124,38.2449888992598,104,true,,,,
125,38.206963307177,104,true,,,,
126,38.2148127510871,104,true,,,,
127,38.1654072512828,104,true,,,,
128,38.0820257609918,104,true,,,,
129,38.1012268251906,104,true,,,,
130,38.2357060558187,104,true,,,,
131,38.1437364551677,104,true,,,,
132,38.1326204847932,104,true,,,,
133,38.2663060961792,104,true,,,,
134,38.2205518733389,104,true,,,,
135,38.3944256503433,104,true,,,,
136,38.3775049932285,104,true,,,,
137,38.4645732973861,104,true,,,,
138,38.5137822389858,104,true,,,,
139,38.6409050898436,104,true,,,,
140,38.6023487411869,104,true,,,,
141,38.5907662497194,104,true,,,,
142,38.6080271071631,104,true,,,,
143,38.7176605954166,104,true,,,,
144,38.6162579568528,104,true,,,,
145,38.5910347994218,104,true,,,,
146,38.565647066851,104,true,,,,
147,38.4805174809484,104,true,,,,
148,38.3119193739351,104,true,,,,
149,38.2102328334231,104,true,,,,
150,38.3679313705617,104,true,,,,
151,38.4089783772796,104,true,,,,
152,38.4292353262565,104,true,,,,
153,38.4593065659166,104,true,,,,
154,38.5347453443513,104,true,,,,
155,38.472380415359,104,true,,,,
156,38.2980904024752,104,true,,,,
157,38.3749143226824,104,true,,,,
158,38.1795580711652,104,true,,,,
159,38.0944308642067,104,true,,,,
160,38.1403197171574,104,true,,,,
161,38.1910389375796,104,true,,,,
162,38.0960436797527,104,true,,,,
163,38.065705389361,104,true,,,,
164,38.0508473417115,104,true,,,,
165,37.972302481071,104,true,,,,
166,38.0866303564768,104,true,,,,
167,38.1437459204004,104,true,,,,
168,38.3445246880319,104,true,,,,
169,38.1472951960998,104,true,,,,
170,37.9244669419671,104,true,,,,
171,37.863257285341,104,true,,,,
172,37.916388884582,104,true,,,,
